firstname,lastname,exam1grade,exam2grade,exam3grade
Dorothy,Mills,67,99,65
Caitlin,Franco,78,71,52
Jeffrey,Miller,81,100,87
Michael,Powell,73,68,81
Joyce,Williams,57,63,95
Bruce,Sandoval,53,88,62
Ebony,Boyd,54,93,83
Debra,Barton,69,65,62
Aaron,Ware,82,98,92
Angela,Sheppard,92,80,50
Amy,Stafford,96,98,80
Joseph,Clark,53,75,70
Ryan,Martinez,62,72,87
Connie,Heath,83,97,94
Steve,Griffin,79,58,59
Douglas,Walls,59,91,89
Marissa,Martinez,80,78,53
David,Gray,64,53,76
Michael,Barton,70,78,90
Heather,Butler,88,62,82
Ashley,Miller,66,80,53
Christopher,Santiago,76,91,76
Patrick,Adams,97,97,67
Cory,Rodriguez,62,92,56
Angela,Reed,77,62,82
Thomas,Harrell,71,77,87
Richard,Martinez,79,50,50
Cheryl,Lewis,76,68,82
Jay,Byrd,82,57,87
Samuel,Russell,87,94,78
Troy,Vaughn,71,89,94
James,Johnson,97,78,61
Daniel,Hernandez,70,84,71
Raven,Smith,55,90,61
Kathryn,Smith,80,87,71
Becky,Wilson,92,67,90
Lisa,Ochoa,71,100,92
Susan,Day,59,66,72
Andrew,Hall,62,71,99
Mallory,Meadows,60,74,53
Pamela,Hill,80,68,77
Stephanie,Garrison,91,88,76
Jose,Smith,86,64,97
Jill,Reyes,100,82,58
Scott,Hamilton,93,74,68
Eric,Ponce,94,95,65
Gabriel,Jenkins,84,100,52
Amber,Mahoney,77,75,84
Larry,Kent,62,67,78
Peter,Hudson,54,92,56
Timothy,Willis,61,65,97
Ashlee,Reed,53,80,79
Stanley,Shelton,56,97,97
Jeffrey,Ross,52,86,98
Amy,Coleman,59,100,97
Nicholas,Charles,79,72,57
Timothy,Norris,78,62,80
Jonathan,Hicks,84,65,68
Robin,Torres,97,88,97
David,Vance,78,93,84
Steve,Jacobs,96,57,80
Brandy,Carroll,93,64,74
Michael,White,91,55,91
Kristen,Thomas,88,67,76
Andrew,Johnson,80,91,91
Steven,Ruiz,63,97,95
Wesley,Smith,62,65,95
Tanya,Ray,71,78,91
Mary,Baker,56,54,99
Kevin,Green,60,98,85
Troy,Ball,52,78,55
Christopher,Jacobs,64,77,72
Ryan,Gray,96,72,75
Michelle,Stone,77,58,63
James,Griffin,50,88,73
David,James,89,78,87
Adrian,Henderson,85,91,78
Emily,Price,52,70,98
Gina,Reeves,73,55,54
Elizabeth,Booth,80,65,83
Patrick,Jones,95,74,51
John,Bailey,75,61,58
Kyle,Garcia,77,75,87
Brooke,Jensen,94,60,61
Melinda,Bernard,87,56,86
Pamela,Johnson,97,57,69
James,Gonzales,97,60,56
Kathryn,Smith,71,60,89
Tracy,Kennedy,50,68,87
Joshua,Randall,58,54,99
Cristian,Lloyd,86,93,68
James,Bryan,60,86,79
Steven,Shaffer,89,99,81
Joshua,Cherry,64,66,77
Glen,Oliver,72,92,99
Kelly,Jones,94,90,85
Wendy,Boyd,74,84,69
Kyle,Conley,81,99,99
Emily,Park,91,65,57
Brittany,Ross,66,78,99
Nathan,Smith,57,99,51
Richard,Foster,63,93,50
Nicole,Young,55,76,68
Tina,Haney,90,74,55
Bruce,Fisher,50,93,56
Susan,Luna,77,91,66
Kim,Cooper,57,88,96
Vanessa,Clark,76,76,59
Robert,Johnson,97,97,68
Ashley,Chung,56,93,89
Charles,Rodriguez,71,85,81
Brandy,Torres,54,99,90
William,Flores,81,57,81
Holly,Keith,95,53,99
Alicia,Rodriguez,70,68,76
Andrew,Cunningham,72,60,86
Steve,Morales,94,70,68
Brian,Petersen,70,75,90
Edward,Hull,63,68,93
Taylor,Miller,56,99,96
Krista,Dunn,94,91,60
Timothy,Beck,61,71,67
Mallory,Alvarez,93,51,67
Christina,Taylor,56,80,80
Jennifer,Kidd,83,98,77
Misty,Willis,59,80,57
Megan,Grimes,59,51,90
Gary,Haney,61,82,52
Katherine,Giles,92,88,86
Brittany,Wilcox,61,94,50
Max,Munoz,51,67,93
Megan,Wright,72,57,97
Angela,King,90,90,98
Daniel,Dunn,71,67,87
Angela,Fitzgerald,77,66,69
Joyce,Gordon,85,58,74
Erika,Carter,54,53,69
Brandy,Foster,67,50,80
Martin,Reed,54,78,88
Joshua,Herman,93,88,57
Janet,Jackson,80,55,75
David,Ortiz,78,70,89
Timothy,Dennis,80,77,98
Juan,Hancock,51,50,52
Jennifer,Campbell,66,65,57
Sabrina,Campbell,78,59,73
James,Brown,75,76,55
Joseph,Cook,83,97,56
Marc,Gonzalez,54,89,55
David,Taylor,63,96,68
Megan,Fisher,57,56,87
Jessica,Johnson,90,71,83
Mike,Byrd,97,81,56
Christine,Fox,76,57,97
Joshua,Henry,96,55,66
Kenneth,Merritt,91,72,89
Natalie,Oneal,55,67,97
Lori,Farmer,90,84,51
Leslie,Richard,63,79,64
Amber,Day,82,98,55
Charles,Bright,69,87,81
Nicole,Alvarado,64,85,99
Thomas,Parker,64,99,76
Erin,Mora,64,99,58
Andrea,Mendoza,59,53,65
Angela,Perry,91,53,53
Cameron,Valencia,99,58,90
Gregory,Davis,80,55,93
Michael,Leon,74,71,75
Carmen,Strickland,53,78,68
James,Dodson,73,94,56
Benjamin,Kemp,95,52,91
Stacy,Cooper,97,86,99
Douglas,Jimenez,77,71,57
Michael,Holland,78,80,78
Stacy,Lee,64,61,82
Karl,Hayes,98,85,89
Sharon,Davis,73,86,84
Michelle,Lam,81,69,79
Brittany,Henderson,95,60,69
Shaun,Campos,68,65,58
Tony,Warren,82,91,78
Carlos,Edwards,98,93,55
Raymond,Taylor,61,93,90
Michael,Simpson,88,76,55
Gregory,Lowe,91,74,73
Mary,Hamilton,81,84,99
Carlos,Reed,86,70,97
Misty,Franklin,74,78,53
Michael,Conley,55,86,89
Erin,Mckinney,73,61,59
Michael,Morales,82,67,83
Scott,Woodward,79,97,79
Alan,Thomas,74,87,96
Perry,Rowe,77,89,89
Tiffany,Fisher,91,96,85
Danielle,Martin,85,64,92
Gregory,Neal,67,75,92
Cynthia,Mitchell,69,95,54
Michael,Mcdonald,60,67,63
Jose,Bryant,86,50,98
Amy,Smith,67,55,95
Robin,Taylor,73,82,96
Rita,Hebert,62,59,52
Cathy,Barry,89,72,97
Eric,Burgess,91,76,94
Kelly,Cardenas,66,96,95
Carlos,Bean,79,71,85
Sandra,Powers,81,84,53
Stephen,Bates,67,55,54
Jennifer,Perkins,54,100,65
Linda,Kim,83,85,63
Jonathan,Ochoa,52,87,88
Melinda,Poole,78,94,88
Jennifer,White,63,77,57
Joseph,Miller,100,71,55
Douglas,Holmes,66,92,70
Sarah,Miller,70,78,85
Keith,Cohen,99,63,71
Tony,Miller,56,64,83
Samantha,Lopez,65,88,96
Kayla,Mendoza,95,63,99
Bryan,Lee,85,76,81
Kristin,Phillips,80,57,98
Mark,Hoffman,50,65,59
Derek,Webb,76,56,52
Jason,Gill,82,85,71
David,Sparks,94,74,61
Michelle,Davis,57,76,83
Christopher,Thomas,100,55,66
Ethan,Thompson,100,65,68
Jose,Martin,62,81,52
Alejandro,Hunt,99,64,73
Deborah,Stewart,65,77,61
Chris,Harris,86,97,94
Anna,Brooks,57,84,88
Craig,Poole,56,99,62
Jody,Johnson,75,78,89
Jamie,Figueroa,92,89,94
James,Roberts,62,80,74
Joseph,Cabrera,83,65,100
Shawn,Bautista,51,80,78
Jennifer,Juarez,83,95,96
Jessica,Gonzalez,71,84,80
Veronica,Stevens,53,85,100
Amy,Tucker,89,88,78
Anthony,Chandler,54,89,54
Lucas,Avery,76,86,60
Barbara,Zuniga,97,71,85
Linda,Smith,90,88,53
Kathleen,Thompson,84,91,54
Tiffany,Ortiz,74,79,69
Mary,White,68,85,92
Marisa,Robertson,85,87,70
Victoria,Nelson,53,96,99
Carol,Martinez,70,50,84
David,Garcia,98,72,71
Bruce,Cox,100,82,62
Brad,Odonnell,53,96,66
Benjamin,Perry,98,100,70
John,Wright,72,76,70
Jeffrey,King,86,81,75
Michael,Sandoval,54,57,55
Travis,Odonnell,78,77,68
Kathryn,Baker,81,82,87
Mary,Patel,65,79,87
Adrienne,Oneal,71,68,84
Ralph,Henry,95,83,54
Rebecca,Myers,55,88,57
Rachael,Ware,53,59,73
Leon,Conner,61,90,76
David,Ross,97,83,78
Kimberly,Charles,71,91,85
Kimberly,Brown,57,63,92
Fernando,Chavez,66,68,90
Eric,Pratt,91,100,54
Daniel,Rice,67,78,87
Mathew,Jimenez,63,57,70
Robert,Oneill,94,100,64
Elizabeth,Garrett,73,95,80
Brian,Johnson,76,71,95
Michael,Pena,64,99,87
Daniel,Deleon,68,90,55
Anthony,Mcdaniel,73,63,66
Daniel,Lopez,65,70,79
Whitney,Aguirre,95,50,72
Marcus,Sanchez,57,89,58
Debra,Pierce,65,70,94
Timothy,Freeman,83,100,98
Madison,Sanders,65,86,94
Deborah,Klein,59,80,60
Adam,Richardson,78,56,62
William,Hayes,78,90,79
Kayla,Santiago,86,74,70
Kayla,Fitzgerald,91,56,63
Michelle,Kennedy,58,100,51
James,Edwards,67,73,61
Mason,Alexander,86,87,86
Kristi,Gregory,58,73,50
Susan,Williamson,51,54,71
Luis,Tucker,83,90,75
Elizabeth,Gonzalez,51,70,76
Kevin,Mullins,69,78,68
James,Ross,68,57,97
Lisa,Webb,87,69,63
Daniel,Sampson,95,93,81
Alexandria,Stevens,86,82,61
Michael,Rodriguez,61,98,98
Stephanie,Tate,68,83,100
Charles,Simpson,70,52,98
Justin,Gibson,64,77,95
Brittany,Smith,59,93,96
Dustin,Lawrence,74,62,95
Dennis,Rowland,84,87,59
Christine,Wood,96,57,65
Joseph,Graham,89,98,81
Adam,Burton,100,81,55
Ann,Ellis,80,65,65
Maria,Jones,74,87,50
Kelly,Cooper,68,98,57
Robert,Williams,69,93,87
Tammy,Thomas,68,74,86
Lindsey,Gomez,87,83,50
Kimberly,Martinez,93,93,97
Stephanie,Howard,94,80,53
Philip,Anderson,75,60,93
Brian,Hart,82,53,50
Michael,Clements,75,92,97
Heidi,Larson,83,54,77
Tammy,Hardy,50,53,56
Jennifer,Sims,57,65,52
Kayla,Ross,77,81,99
Karen,Walters,95,57,85
Allison,Cisneros,74,71,74
Sarah,Nicholson,66,69,89
Rose,Douglas,93,62,97
Andrew,Hernandez,69,59,97
Nancy,Blanchard,91,97,59
Alicia,Lewis,61,51,51
Louis,Molina,63,98,94
Nicholas,Griffin,89,84,57
David,Dudley,51,65,67
Sarah,Williams,64,66,89
Tara,Leonard,56,61,52
Victoria,Christian,94,54,99
Walter,Lewis,95,85,67
Daniel,Richardson,92,91,53
Michele,Christensen,83,51,78
Caitlin,Cross,67,70,91
William,Adams,94,51,94
Miguel,Thompson,56,79,93
Ian,Meyers,93,89,100
Katherine,Patterson,57,75,65
Jessica,Pittman,61,75,53
Mary,Bush,97,84,67
Christy,Steele,95,85,57
Jeffrey,Barker,52,60,93
Michael,Brennan,63,93,80
John,Melendez,81,79,87
Jacob,Klein,59,98,73
James,Smith,62,79,98
Roger,Smith,60,68,92
Alyssa,Garcia,72,63,98
Ruth,Smith,91,100,81
David,Ray,77,74,92
Nathan,Allen,69,94,72
Erica,Rojas,91,58,89
Valerie,Decker,87,76,96
Christopher,Daugherty,77,50,67
Brenda,Sanchez,58,51,53
Wendy,Mitchell,91,94,85
Veronica,Robertson,91,60,93
Tamara,Figueroa,76,80,63
Stephanie,Farley,63,72,64
Jacob,Vaughn,64,50,65
Edward,Larson,91,90,58
Andrew,Nguyen,79,65,78
Kayla,Johnson,92,99,99
Brian,Williams,86,92,95
Cynthia,Trujillo,68,92,75
David,Bruce,100,67,84
Amanda,Charles,78,54,99
Kathleen,Conner,87,64,95
Crystal,Smith,59,57,75
Jonathon,Adams,76,70,80
Megan,Lloyd,67,65,53
Edward,Cunningham,70,52,92
Stephanie,Miller,88,69,88
David,Allen,69,75,63
Christina,Cunningham,50,80,90
Johnny,Spencer,95,99,70
Anthony,Green,63,55,92
Crystal,Bush,91,61,69
Jeffrey,Evans,64,93,53
Kimberly,Martin,89,64,76
Kelly,Gonzales,74,82,71
Sherry,Chambers,59,75,100
Heather,Castillo,56,85,68
Glenn,Ortega,66,59,97
Eric,Dunlap,54,96,67
Bianca,Perez,94,94,87
Joanna,Garrett,58,82,77
Caitlin,Johnson,65,84,52
Patricia,Reeves,70,59,58
Monique,Wagner,86,82,99
Carlos,Russell,79,98,54
Cameron,Smith,99,74,58
Robert,Wells,90,89,72
Susan,Blake,66,51,92
Terri,Pena,56,100,99
Donald,Richard,72,61,89
Cassandra,Murphy,63,54,56
Maria,Dawson,53,52,89
Mark,Peterson,70,83,90
Christian,Young,71,81,62
Chris,Haas,73,79,57
Clayton,Scott,98,55,77
Karen,Brown,82,98,74
Laura,Cruz,82,60,66
David,Chung,80,99,77
Mary,Phillips,69,52,50
Jesse,Howard,67,62,60
Russell,Adkins,80,72,99
David,Bell,63,93,81
Frank,Schaefer,86,92,78
April,Gray,68,56,72
Ray,Foster,56,97,81
Russell,Harrington,94,91,50
Sharon,Hall,67,66,69
James,Finley,65,52,56
Emily,Chambers,95,75,52
David,Keller,100,75,64
Todd,Wright,52,71,99
Sarah,Faulkner,70,87,87
Elizabeth,Jones,84,59,69
Christopher,Swanson,70,68,55
Joshua,Bailey,89,99,71
Holly,Castro,69,78,100
Kathleen,Bennett,70,80,94
Gina,Mckinney,77,97,55
Angela,Hughes,51,52,72
Gregory,Fisher,83,71,74
Matthew,Perez,60,55,54
Allison,Simmons,87,97,82
Terrence,Lopez,80,54,90
Michael,Pham,79,93,90
Leah,Johnson,53,95,99
Kimberly,Bruce,67,99,93
Christopher,Bradford,62,51,60
James,Jackson,54,73,57
Frank,Williams,71,57,95
Heidi,Johnson,84,87,90
Adam,Hansen,70,91,95
Angela,Holmes,75,80,78
Robert,Jackson,94,82,68
Cory,Reeves,68,59,98
Thomas,Vance,91,60,56
Bryan,Elliott,94,52,69
John,Robbins,53,72,92
Grant,Romero,78,55,55
Kelsey,Clark,57,90,60
Sarah,Long,60,95,75
Dawn,Holden,67,63,57
Scott,Taylor,85,76,84
Ray,Russell,99,84,62
Jacob,Chen,89,80,93
Michelle,Durham,88,91,98
Carlos,Rodgers,60,94,58
Kimberly,Garcia,63,91,75
Brittany,Schmidt,92,53,57
Alicia,Bryan,52,73,72
Caitlin,Duffy,98,71,84
Tyrone,Thomas,88,89,61
Shawn,Vang,78,99,88
Jill,Nolan,70,88,98
Lauren,Hale,70,67,54
Samantha,Hughes,81,58,78
Pamela,Mcmahon,71,75,52
Thomas,Lawrence,51,93,78
Jennifer,Holmes,85,80,77
William,Strickland,53,75,83
Linda,Hobbs,87,81,63
Randy,Smith,73,93,57
Lisa,Clark,69,66,62
Andrew,Lutz,79,77,82
Randy,Wiggins,91,80,74
Kevin,Booker,65,90,67
Diane,Rogers,58,56,69
Tracy,Gaines,96,92,69
Antonio,Wilson,66,87,100
Nicole,Peterson,55,72,98
Michael,Nixon,90,92,63
Jason,Herrera,53,71,97
Ashley,Baker,61,95,77
Christopher,Hansen,63,91,63
Troy,Kelley,81,74,75
Edward,Taylor,83,71,84
Emily,Pierce,60,89,85
Matthew,Gilbert,88,76,98
Jessica,Dominguez,61,56,65
William,Cortez,98,63,86
Anna,Berry,92,65,94
Mark,Conley,96,64,83
Emily,Rodriguez,79,100,56
Aaron,Hunt,86,99,70
Shannon,Robinson,60,93,68
Jose,Townsend,82,97,93
Robert,Robles,53,72,92
John,Bowers,54,98,73
Eduardo,Mitchell,94,69,83
Brandon,White,83,58,61
Robert,Bonilla,78,62,98
Kenneth,Glover,82,96,91
Thomas,Campbell,64,71,83
Ian,Weaver,57,55,87
Stephen,Robertson,67,87,58
Nicholas,Cook,55,66,76
Diane,Meyer,62,63,64
Carmen,Nguyen,87,84,81
Autumn,Romero,72,92,64
Daniel,Wilson,60,82,71
Carol,Potts,56,53,94
Caroline,Hamilton,61,59,66
Nicholas,Brown,69,66,50
Sean,Molina,89,74,61
Eric,White,73,52,87
Robert,Powers,90,54,72
Brandon,Murray,55,52,95
Jill,Hill,54,75,88
Dorothy,Martinez,91,86,78
Brittany,Vance,62,68,93
Thomas,Scott,68,54,78
Kristine,Meza,83,68,82
Daniel,Berger,99,57,77
Michael,Smith,95,92,100
Ian,Martinez,93,79,94
Alexandra,Sweeney,64,70,51
Amy,Bradley,80,75,64
Jennifer,Fields,63,93,61
Mark,Reid,51,99,100
Karen,Smith,94,83,62
Nancy,Joyce,55,75,85
Luis,Flores,73,52,84
Joseph,Cummings,95,98,98
Vincent,Allen,54,51,69
Jose,Figueroa,78,63,92
Richard,Le,61,66,90
Michael,Collins,88,82,76
Eric,Martin,53,76,59
Robert,Hill,97,83,87
Samantha,Anthony,52,56,91
Christopher,Smith,100,69,59
Cameron,Brewer,99,58,64
Charles,Franco,63,70,95
Tanya,Woods,81,98,93
John,Glover,77,52,63
Craig,Alexander,52,61,86
Antonio,Hall,74,61,66
William,Schroeder,91,56,58
Janet,Perez,59,93,59
Richard,Hernandez,63,89,68
Jim,Cox,58,92,93
Matthew,Vasquez,75,63,56
Samuel,Thomas,76,62,90
Maurice,Kim,93,90,61
Darren,Brown,73,73,53
Shawn,Hernandez,99,58,89
Heather,Fletcher,90,91,75
Michael,Hays,54,60,68
Lauren,Bailey,92,97,85
Sandra,Cochran,79,75,84
Cody,Hogan,88,100,89
Sandra,Davis,57,65,89
Makayla,Mckinney,92,84,69
James,Taylor,96,95,90
Marissa,Vazquez,85,96,70
Anthony,Hammond,57,66,79
Charles,Smith,72,73,55
Walter,James,69,69,58
Robert,Kirby,60,83,76
Sherri,Potts,100,93,71
Kimberly,Williams,90,75,90
Heather,Moran,64,88,79
Jeremy,Harris,53,89,79
Mike,Compton,57,94,72
Gabriel,Gonzalez,93,66,63
Lisa,Miller,67,70,60
Michael,Tucker,99,90,67
Stephanie,Christian,93,60,53
Antonio,Robles,95,99,71
Bridget,Watson,72,58,56
Mary,Russell,52,92,57
Lori,Bryant,60,91,60
Valerie,David,71,93,74
Elizabeth,Sandoval,63,74,77
Tara,Walker,68,69,83
Christopher,Barry,92,94,87
Suzanne,Carrillo,56,84,75
Cody,Martin,65,99,59
Adriana,Lambert,88,68,50
April,Yates,73,60,54
Kevin,Serrano,98,96,86
Dylan,Hernandez,60,50,90
Brandy,Ortiz,52,79,90
Rick,Jackson,81,91,67
Jennifer,Flores,77,84,71
David,Marshall,94,58,58
Sheila,Wolf,71,76,77
Beverly,Atkins,75,91,85
Karen,Larsen,89,63,88
Susan,Mercado,94,70,79
Brian,King,78,100,64
Jessica,Butler,64,50,73
Timothy,Lynn,97,62,95
Brett,Wilson,63,77,52
John,Carlson,55,81,79
Elizabeth,Cuevas,89,74,62
Natalie,Ramirez,91,56,82
Jamie,Bradley,87,54,93
Francisco,Torres,97,99,64
Rachel,Baker,53,87,77
Ashley,Huffman,57,90,91
Taylor,Ellis,55,90,91
Angela,Fields,59,51,53
Donald,Wright,83,88,52
Matthew,Wade,92,80,100
Eric,Arellano,57,79,68
Arthur,Patel,99,57,60
Nicole,Smith,66,54,59
Michael,Cameron,61,70,75
Anna,Fisher,72,68,81
Paul,Little,56,79,61
Larry,Ryan,55,96,61
Eric,Walker,99,69,95
Sherry,Woods,83,84,96
Thomas,Martinez,67,56,94
Alexander,Adkins,85,65,56
Stephanie,Bridges,90,66,84
Stephen,Martin,88,72,99
Steven,Maldonado,76,57,80
Eric,Proctor,94,77,66
Michael,Curry,65,88,51
Andrew,Jones,98,59,87
Timothy,Beltran,89,56,52
Joe,Vasquez,73,60,66
Valerie,Robinson,77,89,62
Scott,Walker,69,91,100
Belinda,Nelson,60,78,99
Pamela,Hardy,65,62,66
Holly,Alexander,83,88,66
Darren,Stevens,86,57,71
Jose,Craig,66,75,73
Jennifer,Wilson,94,66,56
John,Miller,54,88,64
Louis,Murray,76,80,67
Caroline,Gutierrez,62,92,69
Morgan,King,53,53,59
David,Ramirez,51,61,84
Tammy,Miranda,57,78,97
Regina,Ibarra,67,72,75
Jeff,Griffin,64,93,94
Scott,Gordon,82,53,89
Jacob,Mcgrath,91,73,62
Stephen,Moore,72,65,77
Ashley,Rodriguez,89,93,52
Valerie,Meyer,96,77,63
Bradley,Davis,97,99,82
Shelly,Ryan,56,50,54
Peter,Pratt,89,94,71
Kimberly,Rivera,53,60,66
Jacqueline,Page,93,79,52
Lisa,Sullivan,54,61,61
Peter,Fitzgerald,64,64,80
Derek,Parks,81,67,99
Elizabeth,Robertson,71,77,85
Ronald,Barnett,71,66,81
Jennifer,Rivera,89,60,88
Brooke,Williams,73,86,68
Johnny,Meyer,65,57,77
Mark,Butler,93,97,72
John,Wood,76,92,68
Jay,Baldwin,79,87,53
Christopher,Contreras,94,99,88
Angela,Barron,80,68,61
Jesus,Oliver,96,94,50
Audrey,Parker,81,69,57
Darius,Sandoval,75,91,70
Tamara,Lopez,84,51,55
Samantha,Snyder,69,72,77
Paul,Long,99,64,85
Brittney,Brown,53,84,66
Bethany,Cox,97,87,70
Ian,Reed,68,92,64
Logan,Moreno,51,96,88
Nicholas,Duffy,66,78,75
Abigail,Fields,51,70,90
Kevin,Quinn,55,90,50
Seth,Cameron,94,69,64
Regina,Reyes,91,60,58
Alexis,Parker,60,77,75
Derrick,Castillo,66,58,71
Anthony,Owens,63,88,57
Kyle,Pacheco,73,51,50
Charles,Coleman,73,95,94
Jason,Wong,97,98,56
Jesse,Silva,55,99,87
Larry,Clark,81,83,77
Kenneth,Williams,78,82,80
Mark,Arellano,72,63,74
Daniel,Smith,73,65,63
Barbara,Young,54,84,81
Jamie,Mcdaniel,90,81,54
Lisa,Donaldson,96,90,81
Kevin,Jones,76,84,69
Andres,Richardson,86,62,52
James,Reed,56,88,77
Valerie,Hansen,97,91,84
Austin,Hobbs,88,66,86
Barbara,Gonzalez,93,82,54
Jimmy,Thompson,66,67,100
Connor,Duke,84,55,76
Stephanie,Moran,97,77,100
Harold,Osborne,78,56,73
Richard,Harvey,59,64,59
Ryan,Hudson,86,79,50
Gary,Deleon,96,83,94
Stacey,Pope,70,54,87
Laura,Black,58,53,57
Paul,Silva,79,60,88
Ashley,Allen,59,73,58
Isaac,Jones,74,100,81
Gabriel,Miller,70,51,86
Nicholas,Jones,68,83,80
Randy,Ramirez,97,63,64
Erik,Harper,99,94,60
David,Garcia,59,98,79
Todd,White,81,58,98
Joseph,Thompson,94,89,75
Jessica,Bates,89,54,79
William,Johnson,88,63,96
Eric,Johnson,91,84,53
Caroline,Garcia,76,91,59
Robert,Hendricks,59,52,67
Michael,Thomas,66,68,80
Courtney,Thornton,86,67,90
Donna,Carter,63,77,68
Leslie,Estrada,73,91,66
Nancy,King,65,90,88
Makayla,Gonzalez,97,50,62
Melissa,Reynolds,82,56,60
Jonathan,Pope,100,96,53
Alan,Hopkins,50,100,62
Brittney,Richard,50,70,64
Stephanie,Friedman,98,72,97
Tara,Miller,93,85,73
Susan,Owens,100,66,72
Jonathan,Webster,80,74,51
Johnny,Elliott,64,55,96
Kevin,Deleon,64,84,75
Michael,Gaines,99,51,88
Cynthia,Sullivan,83,96,93
Phillip,Smith,59,83,81
Stacey,Johnson,51,59,64
Janice,Williams,84,81,82
Jason,Smith,81,77,79
Timothy,Hooper,72,74,57
Jonathan,Taylor,92,82,56
Jeffrey,Rowland,91,71,88
Richard,Rodriguez,81,53,58
Lisa,Mcguire,76,67,64
Alexis,Mccall,62,66,74
Heather,Vargas,76,61,62
Danny,Hodges,56,66,63
Dennis,Osborn,96,64,82
Edwin,Perez,70,64,60
Jessica,Johnson,63,81,95
Kara,Johnson,79,56,94
Nicole,Hobbs,85,70,64
Heather,Hanson,62,56,85
Lance,Brown,64,98,77
Shawn,Bailey,67,59,91
Rebecca,Montgomery,79,69,54
Michael,Schroeder,71,60,91
Holly,Young,73,95,54
Jessica,Branch,67,90,87
Jeremiah,Little,67,67,85
Andrea,Strickland,90,87,89
David,Casey,74,58,84
Michael,Cooper,62,99,81
Sheila,Moore,78,80,63
Johnathan,Jones,53,85,100
Angela,Camacho,91,66,75
James,Alexander,73,68,57
Debra,Carpenter,85,57,74
Stephen,Sanders,56,59,56
Marcus,Watson,60,53,77
Cristian,Smith,100,53,65
Daniel,Lewis,82,85,77
Christopher,Davenport,59,79,61
Samuel,Wallace,78,90,76
Michael,Frazier,57,80,93
Jared,Perez,81,57,75
Scott,Zimmerman,88,55,88
Elizabeth,Martin,61,92,72
Brian,Galvan,99,51,89
Melissa,Garcia,65,99,79
Ashley,Sims,52,92,73
Bradley,Russell,52,78,97
Andres,Romero,74,55,97
Timothy,Mcmahon,82,52,60
Christopher,Roberson,70,71,83
Zachary,Clark,61,91,70
Dean,Lopez,52,88,55
Anna,Medina,61,68,89
David,Villegas,80,92,85
Jerry,Byrd,56,50,77
Jordan,Martin,96,72,83
Sherry,Taylor,64,92,69
Susan,Jackson,53,69,63
Fernando,Randolph,66,72,53
Douglas,Wilson,61,87,52
Kimberly,Perez,54,94,72
Luis,Fox,84,96,68
Jennifer,Jackson,93,91,67
Lauren,Munoz,82,89,74
Katherine,Hill,65,58,98
Kayla,Horn,72,59,99
Barbara,Kemp,63,80,67
David,Martinez,53,52,68
Jeremiah,Thomas,50,81,77
Cynthia,Dickson,94,52,72
Stephen,Garcia,99,87,89
Danielle,Neal,93,87,85
Tanya,Jones,50,67,65
Colin,Martin,62,61,51
David,Olson,98,58,81
Timothy,Larson,86,90,99
Kristine,Martinez,59,100,62
Scott,Cruz,74,78,76
Nathan,Carter,80,77,82
Craig,Griffin,91,62,95
Joe,Campbell,99,56,73
Arthur,Phillips,53,85,58
Mary,Fox,59,67,88
Cynthia,Mcdonald,70,74,99
Brandi,Wilson,62,69,68
Nathaniel,Johnson,94,58,86
Jocelyn,Martinez,65,50,68
Antonio,Gardner,73,88,60
Joseph,Heath,59,66,75
Shelly,Taylor,66,54,71
Stephanie,Hughes,79,85,83
Kevin,Pineda,90,54,90
Amy,Warren,97,53,72
Troy,Rivera,54,81,63
Shannon,Davies,70,69,77
Tina,Russell,81,83,81
Timothy,Hernandez,50,98,63
April,Gonzalez,86,67,82
Eric,Wilkins,61,52,84
Bethany,Williamson,62,77,57
Kenneth,Hoover,89,82,76
Benjamin,Lawson,54,91,53
Vanessa,Cox,75,55,82
Corey,Carson,76,58,68
Ryan,Rodriguez,75,87,50
Erika,Mcclure,75,89,80
Amanda,Ochoa,57,88,58
Jason,Coleman,75,74,79
Jonathan,Ortiz,76,52,62
Dennis,Miller,92,54,50
Nicholas,Shea,65,78,53
Matthew,Harmon,62,78,66
Stephanie,Butler,61,74,85
Anthony,Smith,68,93,88
Juan,Stone,70,88,70
Charles,Burton,74,65,96
Raymond,Mann,53,75,64
Anne,Hansen,64,57,71
Daniel,Mcdaniel,94,95,52
Andrew,Brown,88,62,71
Timothy,Smith,90,89,67
Dustin,Meyer,96,62,80
Heather,Walker,58,89,76
Tiffany,Chambers,92,80,61
Johnny,Pennington,63,88,99
Nicolas,Miller,53,52,62
Julie,Lewis,59,81,81
Ronald,Burton,75,54,52
Paula,Rodgers,81,80,83
Jennifer,Sullivan,99,82,95
Brian,Johnson,80,73,71
Stephen,Haynes,60,76,59
Johnathan,Meyer,62,95,98
Bradley,Keller,95,79,98
Hailey,Chapman,80,75,87
Tina,Salas,63,76,62
Christine,Campbell,90,89,86
Sarah,Moore,80,82,74
Isaiah,Ramos,96,79,51
Michael,Scott,92,92,53
Amy,Thomas,87,77,54
Daniel,Kirk,65,96,81
Alexander,Ibarra,66,60,55
Donald,Rodriguez,58,65,91
Heather,Anderson,93,79,73
Andrew,Romero,63,55,90
Ricky,Zimmerman,68,54,99
Jennifer,Johnson,94,100,98
Audrey,Gomez,87,67,77
Emma,Davis,62,77,67
Cynthia,Carroll,75,61,89
