Name                    Exam1     Exam2     Exam3     Avg       
Brittany Henderson      95        60        69        74.67     
Shaun Campos            68        65        58        63.67     
Tony Warren             82        91        78        83.67     
Carlos Edwards          98        93        55        82.00     
Raymond Taylor          61        93        90        81.33     
Michael Simpson         88        76        55        73.00     
Gregory Lowe            91        74        73        79.33     
Mary Hamilton           81        84        99        88.00     
Carlos Reed             86        70        97        84.33     
Misty Franklin          74        78        53        68.33     
Michael Conley          55        86        89        76.67     
Erin Mckinney           73        61        59        64.33     
Michael Morales         82        67        83        77.33     
Scott Woodward          79        97        79        85.00     
Alan Thomas             74        87        96        85.67     
Perry Rowe              77        89        89        85.00     
Tiffany Fisher          91        96        85        90.67     
Danielle Martin         85        64        92        80.33     
Gregory Neal            67        75        92        78.00     
Cynthia Mitchell        69        95        54        72.67     
Michael Mcdonald        60        67        63        63.33     
Jose Bryant             86        50        98        78.00     
Amy Smith               67        55        95        72.33     
Robin Taylor            73        82        96        83.67     
Rita Hebert             62        59        52        57.67     
Cathy Barry             89        72        97        86.00     
Eric Burgess            91        76        94        87.00     
Kelly Cardenas          66        96        95        85.67     
Carlos Bean             79        71        85        78.33     
Sandra Powers           81        84        53        72.67     
Stephen Bates           67        55        54        58.67     
Jennifer Perkins        54        100       65        73.00     
Linda Kim               83        85        63        77.00     
Jonathan Ochoa          52        87        88        75.67     
Melinda Poole           78        94        88        86.67     
Jennifer White          63        77        57        65.67     
Joseph Miller           100       71        55        75.33     
Douglas Holmes          66        92        70        76.00     
Sarah Miller            70        78        85        77.67     
Keith Cohen             99        63        71        77.67     
Tony Miller             56        64        83        67.67     
Samantha Lopez          65        88        96        83.00     
Kayla Mendoza           95        63        99        85.67     
Bryan Lee               85        76        81        80.67     
Kristin Phillips        80        57        98        78.33     
Mark Hoffman            50        65        59        58.00     
Derek Webb              76        56        52        61.33     
Jason Gill              82        85        71        79.33     
David Sparks            94        74        61        76.33     
Michelle Davis          57        76        83        72.00     
Christopher Thomas      100       55        66        73.67     
Ethan Thompson          100       65        68        77.67     
Jose Martin             62        81        52        65.00     
Alejandro Hunt          99        64        73        78.67     
Deborah Stewart         65        77        61        67.67     
Chris Harris            86        97        94        92.33     
Anna Brooks             57        84        88        76.33     
Craig Poole             56        99        62        72.33     
Jody Johnson            75        78        89        80.67     
Jamie Figueroa          92        89        94        91.67     
James Roberts           62        80        74        72.00     
Joseph Cabrera          83        65        100       82.67     
Shawn Bautista          51        80        78        69.67     
Jennifer Juarez         83        95        96        91.33     
Jessica Gonzalez        71        84        80        78.33     
Veronica Stevens        53        85        100       79.33     
Amy Tucker              89        88        78        85.00     
Anthony Chandler        54        89        54        65.67     
Lucas Avery             76        86        60        74.00     
Barbara Zuniga          97        71        85        84.33     
Linda Smith             90        88        53        77.00     
Kathleen Thompson       84        91        54        76.33     
Tiffany Ortiz           74        79        69        74.00     
Mary White              68        85        92        81.67     
Marisa Robertson        85        87        70        80.67     
Victoria Nelson         53        96        99        82.67     
Carol Martinez          70        50        84        68.00     
David Garcia            98        72        71        80.33     
Bruce Cox               100       82        62        81.33     
Brad Odonnell           53        96        66        71.67     
Benjamin Perry          98        100       70        89.33     
John Wright             72        76        70        72.67     
Jeffrey King            86        81        75        80.67     
Michael Sandoval        54        57        55        55.33     
Travis Odonnell         78        77        68        74.33     
Kathryn Baker           81        82        87        83.33     
Mary Patel              65        79        87        77.00     
Adrienne Oneal          71        68        84        74.33     
Ralph Henry             95        83        54        77.33     
Rebecca Myers           55        88        57        66.67     
Rachael Ware            53        59        73        61.67     
Leon Conner             61        90        76        75.67     
David Ross              97        83        78        86.00     
Kimberly Charles        71        91        85        82.33     
Kimberly Brown          57        63        92        70.67     
Fernando Chavez         66        68        90        74.67     
Eric Pratt              91        100       54        81.67     
Daniel Rice             67        78        87        77.33     
Mathew Jimenez          63        57        70        63.33     
Robert Oneill           94        100       64        86.00     
Elizabeth Garrett       73        95        80        82.67     
Brian Johnson           76        71        95        80.67     
Michael Pena            64        99        87        83.33     
Daniel Deleon           68        90        55        71.00     
Anthony Mcdaniel        73        63        66        67.33     
Daniel Lopez            65        70        79        71.33     
Whitney Aguirre         95        50        72        72.33     
Marcus Sanchez          57        89        58        68.00     
Debra Pierce            65        70        94        76.33     
Timothy Freeman         83        100       98        93.67     
Madison Sanders         65        86        94        81.67     
Deborah Klein           59        80        60        66.33     
Adam Richardson         78        56        62        65.33     
William Hayes           78        90        79        82.33     
Kayla Santiago          86        74        70        76.67     
Kayla Fitzgerald        91        56        63        70.00     
Michelle Kennedy        58        100       51        69.67     
James Edwards           67        73        61        67.00     
Mason Alexander         86        87        86        86.33     
Kristi Gregory          58        73        50        60.33     
Susan Williamson        51        54        71        58.67     
Luis Tucker             83        90        75        82.67     
Elizabeth Gonzalez      51        70        76        65.67     
Kevin Mullins           69        78        68        71.67     
James Ross              68        57        97        74.00     
Lisa Webb               87        69        63        73.00     
Daniel Sampson          95        93        81        89.67     
Alexandria Stevens      86        82        61        76.33     
Michael Rodriguez       61        98        98        85.67     
Stephanie Tate          68        83        100       83.67     
Charles Simpson         70        52        98        73.33     
Justin Gibson           64        77        95        78.67     
Brittany Smith          59        93        96        82.67     
Dustin Lawrence         74        62        95        77.00     
Dennis Rowland          84        87        59        76.67     
Christine Wood          96        57        65        72.67     
Joseph Graham           89        98        81        89.33     
Adam Burton             100       81        55        78.67     
Ann Ellis               80        65        65        70.00     
Maria Jones             74        87        50        70.33     
Kelly Cooper            68        98        57        74.33     
Robert Williams         69        93        87        83.00     
Tammy Thomas            68        74        86        76.00     
Lindsey Gomez           87        83        50        73.33     
Kimberly Martinez       93        93        97        94.33     
Stephanie Howard        94        80        53        75.67     
Philip Anderson         75        60        93        76.00     
Brian Hart              82        53        50        61.67     
Michael Clements        75        92        97        88.00     
Heidi Larson            83        54        77        71.33     
Tammy Hardy             50        53        56        53.00     
Jennifer Sims           57        65        52        58.00     
Kayla Ross              77        81        99        85.67     
Karen Walters           95        57        85        79.00     
Allison Cisneros        74        71        74        73.00     
Sarah Nicholson         66        69        89        74.67     
Rose Douglas            93        62        97        84.00     
Andrew Hernandez        69        59        97        75.00     
Nancy Blanchard         91        97        59        82.33     
Alicia Lewis            61        51        51        54.33     
Louis Molina            63        98        94        85.00     
Nicholas Griffin        89        84        57        76.67     
David Dudley            51        65        67        61.00     
Sarah Williams          64        66        89        73.00     
Tara Leonard            56        61        52        56.33     
Victoria Christian      94        54        99        82.33     
Walter Lewis            95        85        67        82.33     
Daniel Richardson       92        91        53        78.67     
Michele Christensen     83        51        78        70.67     
Caitlin Cross           67        70        91        76.00     
William Adams           94        51        94        79.67     
Miguel Thompson         56        79        93        76.00     
Ian Meyers              93        89        100       94.00     
Katherine Patterson     57        75        65        65.67     
Jessica Pittman         61        75        53        63.00     
Mary Bush               97        84        67        82.67     
Christy Steele          95        85        57        79.00     
Jeffrey Barker          52        60        93        68.33     
Michael Brennan         63        93        80        78.67     
John Melendez           81        79        87        82.33     
Jacob Klein             59        98        73        76.67     
James Smith             62        79        98        79.67     
Roger Smith             60        68        92        73.33     
Alyssa Garcia           72        63        98        77.67     
Ruth Smith              91        100       81        90.67     
David Ray               77        74        92        81.00     
Nathan Allen            69        94        72        78.33     
Erica Rojas             91        58        89        79.33     
Valerie Decker          87        76        96        86.33     
Christopher Daugherty   77        50        67        64.67     
Brenda Sanchez          58        51        53        54.00     
Wendy Mitchell          91        94        85        90.00     
Veronica Robertson      91        60        93        81.33     
Tamara Figueroa         76        80        63        73.00     
Stephanie Farley        63        72        64        66.33     
Jacob Vaughn            64        50        65        59.67     
Edward Larson           91        90        58        79.67     
Andrew Nguyen           79        65        78        74.00     
Kayla Johnson           92        99        99        96.67     
Brian Williams          86        92        95        91.00     
Cynthia Trujillo        68        92        75        78.33     
David Bruce             100       67        84        83.67     
Amanda Charles          78        54        99        77.00     
Kathleen Conner         87        64        95        82.00     
Crystal Smith           59        57        75        63.67     
Jonathon Adams          76        70        80        75.33     
Megan Lloyd             67        65        53        61.67     
Edward Cunningham       70        52        92        71.33     
Stephanie Miller        88        69        88        81.67     
David Allen             69        75        63        69.00     
Christina Cunningham    50        80        90        73.33     
Johnny Spencer          95        99        70        88.00     
Anthony Green           63        55        92        70.00     
Crystal Bush            91        61        69        73.67     
Jeffrey Evans           64        93        53        70.00     
Kimberly Martin         89        64        76        76.33     
Kelly Gonzales          74        82        71        75.67     
Sherry Chambers         59        75        100       78.00     
Heather Castillo        56        85        68        69.67     
Glenn Ortega            66        59        97        74.00     
Eric Dunlap             54        96        67        72.33     
Bianca Perez            94        94        87        91.67     
Joanna Garrett          58        82        77        72.33     
Caitlin Johnson         65        84        52        67.00     
Patricia Reeves         70        59        58        62.33     
Monique Wagner          86        82        99        89.00     
Carlos Russell          79        98        54        77.00     
Cameron Smith           99        74        58        77.00     
Robert Wells            90        89        72        83.67     
Susan Blake             66        51        92        69.67     
Terri Pena              56        100       99        85.00     
Donald Richard          72        61        89        74.00     
Cassandra Murphy        63        54        56        57.67     
Maria Dawson            53        52        89        64.67     
Mark Peterson           70        83        90        81.00     
Christian Young         71        81        62        71.33     
Chris Haas              73        79        57        69.67     
Clayton Scott           98        55        77        76.67     
Karen Brown             82        98        74        84.67     
Laura Cruz              82        60        66        69.33     
David Chung             80        99        77        85.33     
Mary Phillips           69        52        50        57.00     
Jesse Howard            67        62        60        63.00     
Russell Adkins          80        72        99        83.67     
David Bell              63        93        81        79.00     
Frank Schaefer          86        92        78        85.33     
April Gray              68        56        72        65.33     
Ray Foster              56        97        81        78.00     
Russell Harrington      94        91        50        78.33     
Sharon Hall             67        66        69        67.33     
James Finley            65        52        56        57.67     
Emily Chambers          95        75        52        74.00     
David Keller            100       75        64        79.67     
Todd Wright             52        71        99        74.00     
Sarah Faulkner          70        87        87        81.33     
Elizabeth Jones         84        59        69        70.67     
Christopher Swanson     70        68        55        64.33     
Joshua Bailey           89        99        71        86.33     
Holly Castro            69        78        100       82.33     
Kathleen Bennett        70        80        94        81.33     
Gina Mckinney           77        97        55        76.33     
Angela Hughes           51        52        72        58.33     
Gregory Fisher          83        71        74        76.00     
Matthew Perez           60        55        54        56.33     
Allison Simmons         87        97        82        88.67     
Terrence Lopez          80        54        90        74.67     
Michael Pham            79        93        90        87.33     
Leah Johnson            53        95        99        82.33     
Kimberly Bruce          67        99        93        86.33     
Christopher Bradford    62        51        60        57.67     
James Jackson           54        73        57        61.33     
Frank Williams          71        57        95        74.33     
Heidi Johnson           84        87        90        87.00     
Adam Hansen             70        91        95        85.33     
Angela Holmes           75        80        78        77.67     
Robert Jackson          94        82        68        81.33     
Cory Reeves             68        59        98        75.00     
Thomas Vance            91        60        56        69.00     
Bryan Elliott           94        52        69        71.67     
John Robbins            53        72        92        72.33     
Grant Romero            78        55        55        62.67     
Kelsey Clark            57        90        60        69.00     
Sarah Long              60        95        75        76.67     
Dawn Holden             67        63        57        62.33     
Scott Taylor            85        76        84        81.67     
Ray Russell             99        84        62        81.67     
Jacob Chen              89        80        93        87.33     
Michelle Durham         88        91        98        92.33     
Carlos Rodgers          60        94        58        70.67     
Kimberly Garcia         63        91        75        76.33     
Brittany Schmidt        92        53        57        67.33     
Alicia Bryan            52        73        72        65.67     
Caitlin Duffy           98        71        84        84.33     
Tyrone Thomas           88        89        61        79.33     
Shawn Vang              78        99        88        88.33     
Jill Nolan              70        88        98        85.33     
Lauren Hale             70        67        54        63.67     
Samantha Hughes         81        58        78        72.33     
Pamela Mcmahon          71        75        52        66.00     
Thomas Lawrence         51        93        78        74.00     
Jennifer Holmes         85        80        77        80.67     
William Strickland      53        75        83        70.33     
Linda Hobbs             87        81        63        77.00     
Randy Smith             73        93        57        74.33     
Lisa Clark              69        66        62        65.67     
Andrew Lutz             79        77        82        79.33     
Randy Wiggins           91        80        74        81.67     
Kevin Booker            65        90        67        74.00     
Diane Rogers            58        56        69        61.00     
Tracy Gaines            96        92        69        85.67     
Antonio Wilson          66        87        100       84.33     
Nicole Peterson         55        72        98        75.00     
Michael Nixon           90        92        63        81.67     
Jason Herrera           53        71        97        73.67     
Ashley Baker            61        95        77        77.67     
Christopher Hansen      63        91        63        72.33     
Troy Kelley             81        74        75        76.67     
Edward Taylor           83        71        84        79.33     
Emily Pierce            60        89        85        78.00     
Matthew Gilbert         88        76        98        87.33     
Jessica Dominguez       61        56        65        60.67     
William Cortez          98        63        86        82.33     
Anna Berry              92        65        94        83.67     
Mark Conley             96        64        83        81.00     
Emily Rodriguez         79        100       56        78.33     
Aaron Hunt              86        99        70        85.00     
Shannon Robinson        60        93        68        73.67     
Jose Townsend           82        97        93        90.67     
Robert Robles           53        72        92        72.33     
John Bowers             54        98        73        75.00     
Eduardo Mitchell        94        69        83        82.00     
Brandon White           83        58        61        67.33     
Robert Bonilla          78        62        98        79.33     
Kenneth Glover          82        96        91        89.67     
Thomas Campbell         64        71        83        72.67     
Ian Weaver              57        55        87        66.33     
Stephen Robertson       67        87        58        70.67     
Nicholas Cook           55        66        76        65.67     
Diane Meyer             62        63        64        63.00     
Carmen Nguyen           87        84        81        84.00     
Autumn Romero           72        92        64        76.00     
Daniel Wilson           60        82        71        71.00     
Carol Potts             56        53        94        67.67     
Caroline Hamilton       61        59        66        62.00     
Nicholas Brown          69        66        50        61.67     
Sean Molina             89        74        61        74.67     
Eric White              73        52        87        70.67     
Robert Powers           90        54        72        72.00     
Brandon Murray          55        52        95        67.33     
Jill Hill               54        75        88        72.33     
Dorothy Martinez        91        86        78        85.00     
Brittany Vance          62        68        93        74.33     
Thomas Scott            68        54        78        66.67     
Kristine Meza           83        68        82        77.67     
Daniel Berger           99        57        77        77.67     
Michael Smith           95        92        100       95.67     
Ian Martinez            93        79        94        88.67     
Alexandra Sweeney       64        70        51        61.67     
Amy Bradley             80        75        64        73.00     
Jennifer Fields         63        93        61        72.33     
Mark Reid               51        99        100       83.33     
Karen Smith             94        83        62        79.67     
Nancy Joyce             55        75        85        71.67     
Luis Flores             73        52        84        69.67     
Joseph Cummings         95        98        98        97.00     
Vincent Allen           54        51        69        58.00     
Jose Figueroa           78        63        92        77.67     
Richard Le              61        66        90        72.33     
Michael Collins         88        82        76        82.00     
Eric Martin             53        76        59        62.67     
Robert Hill             97        83        87        89.00     
Samantha Anthony        52        56        91        66.33     
Christopher Smith       100       69        59        76.00     
Cameron Brewer          99        58        64        73.67     
Charles Franco          63        70        95        76.00     
Tanya Woods             81        98        93        90.67     
John Glover             77        52        63        64.00     
Craig Alexander         52        61        86        66.33     
Antonio Hall            74        61        66        67.00     
William Schroeder       91        56        58        68.33     
Janet Perez             59        93        59        70.33     
Richard Hernandez       63        89        68        73.33     
Jim Cox                 58        92        93        81.00     
Matthew Vasquez         75        63        56        64.67     
Samuel Thomas           76        62        90        76.00     
Maurice Kim             93        90        61        81.33     
Darren Brown            73        73        53        66.33     
Shawn Hernandez         99        58        89        82.00     
Heather Fletcher        90        91        75        85.33     
Michael Hays            54        60        68        60.67     
Lauren Bailey           92        97        85        91.33     
Sandra Cochran          79        75        84        79.33     
Cody Hogan              88        100       89        92.33     
Sandra Davis            57        65        89        70.33     
Makayla Mckinney        92        84        69        81.67     
James Taylor            96        95        90        93.67     
Marissa Vazquez         85        96        70        83.67     
Anthony Hammond         57        66        79        67.33     
Charles Smith           72        73        55        66.67     
Walter James            69        69        58        65.33     
Robert Kirby            60        83        76        73.00     
Sherri Potts            100       93        71        88.00     
Kimberly Williams       90        75        90        85.00     
Heather Moran           64        88        79        77.00     
Jeremy Harris           53        89        79        73.67     
Mike Compton            57        94        72        74.33     
Gabriel Gonzalez        93        66        63        74.00     
Lisa Miller             67        70        60        65.67     
Michael Tucker          99        90        67        85.33     
Stephanie Christian     93        60        53        68.67     
Antonio Robles          95        99        71        88.33     
Bridget Watson          72        58        56        62.00     
Mary Russell            52        92        57        67.00     
Lori Bryant             60        91        60        70.33     
Valerie David           71        93        74        79.33     
Elizabeth Sandoval      63        74        77        71.33     
Tara Walker             68        69        83        73.33     
Christopher Barry       92        94        87        91.00     
Suzanne Carrillo        56        84        75        71.67     
Cody Martin             65        99        59        74.33     
Adriana Lambert         88        68        50        68.67     
April Yates             73        60        54        62.33     
Kevin Serrano           98        96        86        93.33     
Dylan Hernandez         60        50        90        66.67     
Brandy Ortiz            52        79        90        73.67     
Rick Jackson            81        91        67        79.67     
Jennifer Flores         77        84        71        77.33     
David Marshall          94        58        58        70.00     
Sheila Wolf             71        76        77        74.67     
Beverly Atkins          75        91        85        83.67     
Karen Larsen            89        63        88        80.00     
Susan Mercado           94        70        79        81.00     
Brian King              78        100       64        80.67     
Jessica Butler          64        50        73        62.33     
Timothy Lynn            97        62        95        84.67     
Brett Wilson            63        77        52        64.00     
John Carlson            55        81        79        71.67     
Elizabeth Cuevas        89        74        62        75.00     
Natalie Ramirez         91        56        82        76.33     
Jamie Bradley           87        54        93        78.00     
Francisco Torres        97        99        64        86.67     
Rachel Baker            53        87        77        72.33     
Ashley Huffman          57        90        91        79.33     
Taylor Ellis            55        90        91        78.67     
Angela Fields           59        51        53        54.33     
Donald Wright           83        88        52        74.33     
Matthew Wade            92        80        100       90.67     
Eric Arellano           57        79        68        68.00     
Arthur Patel            99        57        60        72.00     
Nicole Smith            66        54        59        59.67     
Michael Cameron         61        70        75        68.67     
Anna Fisher             72        68        81        73.67     
Paul Little             56        79        61        65.33     
Larry Ryan              55        96        61        70.67     
Eric Walker             99        69        95        87.67     
Sherry Woods            83        84        96        87.67     
Thomas Martinez         67        56        94        72.33     
Alexander Adkins        85        65        56        68.67     
Stephanie Bridges       90        66        84        80.00     
Stephen Martin          88        72        99        86.33     
Steven Maldonado        76        57        80        71.00     
Eric Proctor            94        77        66        79.00     
Michael Curry           65        88        51        68.00     
Andrew Jones            98        59        87        81.33     
Timothy Beltran         89        56        52        65.67     
Joe Vasquez             73        60        66        66.33     
Valerie Robinson        77        89        62        76.00     
Scott Walker            69        91        100       86.67     
Belinda Nelson          60        78        99        79.00     
Pamela Hardy            65        62        66        64.33     
Holly Alexander         83        88        66        79.00     
Darren Stevens          86        57        71        71.33     
Jose Craig              66        75        73        71.33     
Jennifer Wilson         94        66        56        72.00     
John Miller             54        88        64        68.67     
Louis Murray            76        80        67        74.33     
Caroline Gutierrez      62        92        69        74.33     
Morgan King             53        53        59        55.00     
David Ramirez           51        61        84        65.33     
Tammy Miranda           57        78        97        77.33     
Regina Ibarra           67        72        75        71.33     
Jeff Griffin            64        93        94        83.67     
Scott Gordon            82        53        89        74.67     
Jacob Mcgrath           91        73        62        75.33     
Stephen Moore           72        65        77        71.33     
Ashley Rodriguez        89        93        52        78.00     
Valerie Meyer           96        77        63        78.67     
Bradley Davis           97        99        82        92.67     
Shelly Ryan             56        50        54        53.33     
Peter Pratt             89        94        71        84.67     
Kimberly Rivera         53        60        66        59.67     
Jacqueline Page         93        79        52        74.67     
Lisa Sullivan           54        61        61        58.67     
Peter Fitzgerald        64        64        80        69.33     
Derek Parks             81        67        99        82.33     
Elizabeth Robertson     71        77        85        77.67     
Ronald Barnett          71        66        81        72.67     
Jennifer Rivera         89        60        88        79.00     
Brooke Williams         73        86        68        75.67     
Johnny Meyer            65        57        77        66.33     
Mark Butler             93        97        72        87.33     
John Wood               76        92        68        78.67     
Jay Baldwin             79        87        53        73.00     
Christopher Contreras   94        99        88        93.67     
Angela Barron           80        68        61        69.67     
Jesus Oliver            96        94        50        80.00     
Audrey Parker           81        69        57        69.00     
Darius Sandoval         75        91        70        78.67     
Tamara Lopez            84        51        55        63.33     
Samantha Snyder         69        72        77        72.67     
Paul Long               99        64        85        82.67     
Brittney Brown          53        84        66        67.67     
Bethany Cox             97        87        70        84.67     
Ian Reed                68        92        64        74.67     
Logan Moreno            51        96        88        78.33     
Nicholas Duffy          66        78        75        73.00     
Abigail Fields          51        70        90        70.33     
Kevin Quinn             55        90        50        65.00     
Seth Cameron            94        69        64        75.67     
Regina Reyes            91        60        58        69.67     
Alexis Parker           60        77        75        70.67     
Derrick Castillo        66        58        71        65.00     
Anthony Owens           63        88        57        69.33     
Kyle Pacheco            73        51        50        58.00     
Charles Coleman         73        95        94        87.33     
Jason Wong              97        98        56        83.67     
Jesse Silva             55        99        87        80.33     
Larry Clark             81        83        77        80.33     
Kenneth Williams        78        82        80        80.00     
Mark Arellano           72        63        74        69.67     
Daniel Smith            73        65        63        67.00     
Barbara Young           54        84        81        73.00     
Jamie Mcdaniel          90        81        54        75.00     
Lisa Donaldson          96        90        81        89.00     
Kevin Jones             76        84        69        76.33     
Andres Richardson       86        62        52        66.67     
James Reed              56        88        77        73.67     
Valerie Hansen          97        91        84        90.67     
Austin Hobbs            88        66        86        80.00     
Barbara Gonzalez        93        82        54        76.33     
Jimmy Thompson          66        67        100       77.67     
Connor Duke             84        55        76        71.67     
Stephanie Moran         97        77        100       91.33     
Harold Osborne          78        56        73        69.00     
Richard Harvey          59        64        59        60.67     
Ryan Hudson             86        79        50        71.67     
Gary Deleon             96        83        94        91.00     
Stacey Pope             70        54        87        70.33     
Laura Black             58        53        57        56.00     
Paul Silva              79        60        88        75.67     
Ashley Allen            59        73        58        63.33     
Isaac Jones             74        100       81        85.00     
Gabriel Miller          70        51        86        69.00     
Nicholas Jones          68        83        80        77.00     
Randy Ramirez           97        63        64        74.67     
Erik Harper             99        94        60        84.33     
David Garcia            59        98        79        78.67     
Todd White              81        58        98        79.00     
Joseph Thompson         94        89        75        86.00     
Jessica Bates           89        54        79        74.00     
William Johnson         88        63        96        82.33     
Eric Johnson            91        84        53        76.00     
Caroline Garcia         76        91        59        75.33     
Robert Hendricks        59        52        67        59.33     
Michael Thomas          66        68        80        71.33     
Courtney Thornton       86        67        90        81.00     
Donna Carter            63        77        68        69.33     
Leslie Estrada          73        91        66        76.67     
Nancy King              65        90        88        81.00     
Makayla Gonzalez        97        50        62        69.67     
Melissa Reynolds        82        56        60        66.00     
Jonathan Pope           100       96        53        83.00     
Alan Hopkins            50        100       62        70.67     
Brittney Richard        50        70        64        61.33     
Stephanie Friedman      98        72        97        89.00     
Tara Miller             93        85        73        83.67     
Susan Owens             100       66        72        79.33     
Jonathan Webster        80        74        51        68.33     
Johnny Elliott          64        55        96        71.67     
Kevin Deleon            64        84        75        74.33     
Michael Gaines          99        51        88        79.33     
Cynthia Sullivan        83        96        93        90.67     
Phillip Smith           59        83        81        74.33     
Stacey Johnson          51        59        64        58.00     
Janice Williams         84        81        82        82.33     
Jason Smith             81        77        79        79.00     
Timothy Hooper          72        74        57        67.67     
Jonathan Taylor         92        82        56        76.67     
Jeffrey Rowland         91        71        88        83.33     
Richard Rodriguez       81        53        58        64.00     
Lisa Mcguire            76        67        64        69.00     
Alexis Mccall           62        66        74        67.33     
Heather Vargas          76        61        62        66.33     
Danny Hodges            56        66        63        61.67     
Dennis Osborn           96        64        82        80.67     
Edwin Perez             70        64        60        64.67     
Jessica Johnson         63        81        95        79.67     
Kara Johnson            79        56        94        76.33     
Nicole Hobbs            85        70        64        73.00     
Heather Hanson          62        56        85        67.67     
Lance Brown             64        98        77        79.67     
Shawn Bailey            67        59        91        72.33     
Rebecca Montgomery      79        69        54        67.33     
Michael Schroeder       71        60        91        74.00     
Holly Young             73        95        54        74.00     
Jessica Branch          67        90        87        81.33     
Jeremiah Little         67        67        85        73.00     
Andrea Strickland       90        87        89        88.67     
David Casey             74        58        84        72.00     
Michael Cooper          62        99        81        80.67     
Sheila Moore            78        80        63        73.67     
Johnathan Jones         53        85        100       79.33     
Angela Camacho          91        66        75        77.33     
James Alexander         73        68        57        66.00     
Debra Carpenter         85        57        74        72.00     
Stephen Sanders         56        59        56        57.00     
Marcus Watson           60        53        77        63.33     
Cristian Smith          100       53        65        72.67     
Daniel Lewis            82        85        77        81.33     
Christopher Davenport   59        79        61        66.33     
Samuel Wallace          78        90        76        81.33     
Michael Frazier         57        80        93        76.67     
Jared Perez             81        57        75        71.00     
Scott Zimmerman         88        55        88        77.00     
Elizabeth Martin        61        92        72        75.00     
Brian Galvan            99        51        89        79.67     
Melissa Garcia          65        99        79        81.00     
Ashley Sims             52        92        73        72.33     
Bradley Russell         52        78        97        75.67     
Andres Romero           74        55        97        75.33     
Timothy Mcmahon         82        52        60        64.67     
Christopher Roberson    70        71        83        74.67     
Zachary Clark           61        91        70        74.00     
Dean Lopez              52        88        55        65.00     
Anna Medina             61        68        89        72.67     
David Villegas          80        92        85        85.67     
Jerry Byrd              56        50        77        61.00     
Jordan Martin           96        72        83        83.67     
Sherry Taylor           64        92        69        75.00     
Susan Jackson           53        69        63        61.67     
Fernando Randolph       66        72        53        63.67     
Douglas Wilson          61        87        52        66.67     
Kimberly Perez          54        94        72        73.33     
Luis Fox                84        96        68        82.67     
Jennifer Jackson        93        91        67        83.67     
Lauren Munoz            82        89        74        81.67     
Katherine Hill          65        58        98        73.67     
Kayla Horn              72        59        99        76.67     
Barbara Kemp            63        80        67        70.00     
David Martinez          53        52        68        57.67     
Jeremiah Thomas         50        81        77        69.33     
Cynthia Dickson         94        52        72        72.67     
Stephen Garcia          99        87        89        91.67     
Danielle Neal           93        87        85        88.33     
Tanya Jones             50        67        65        60.67     
Colin Martin            62        61        51        58.00     
David Olson             98        58        81        79.00     
Timothy Larson          86        90        99        91.67     
Kristine Martinez       59        100       62        73.67     
Scott Cruz              74        78        76        76.00     
Nathan Carter           80        77        82        79.67     
Craig Griffin           91        62        95        82.67     
Joe Campbell            99        56        73        76.00     
Arthur Phillips         53        85        58        65.33     
Mary Fox                59        67        88        71.33     
Cynthia Mcdonald        70        74        99        81.00     
Brandi Wilson           62        69        68        66.33     
Nathaniel Johnson       94        58        86        79.33     
Jocelyn Martinez        65        50        68        61.00     
Antonio Gardner         73        88        60        73.67     
Joseph Heath            59        66        75        66.67     
Shelly Taylor           66        54        71        63.67     
Stephanie Hughes        79        85        83        82.33     
Kevin Pineda            90        54        90        78.00     
Amy Warren              97        53        72        74.00     
Troy Rivera             54        81        63        66.00     
Shannon Davies          70        69        77        72.00     
Tina Russell            81        83        81        81.67     
Timothy Hernandez       50        98        63        70.33     
April Gonzalez          86        67        82        78.33     
Eric Wilkins            61        52        84        65.67     
Bethany Williamson      62        77        57        65.33     
Kenneth Hoover          89        82        76        82.33     
Benjamin Lawson         54        91        53        66.00     
Vanessa Cox             75        55        82        70.67     
Corey Carson            76        58        68        67.33     
Ryan Rodriguez          75        87        50        70.67     
Erika Mcclure           75        89        80        81.33     
Amanda Ochoa            57        88        58        67.67     
Jason Coleman           75        74        79        76.00     
Jonathan Ortiz          76        52        62        63.33     
Dennis Miller           92        54        50        65.33     
Nicholas Shea           65        78        53        65.33     
